A0,A1,A2,A3,I0,I1,I2,I3,D0,D1,D2,D3,landslide
40.52807114,0.509791121,19.21791622,9.373338498,4.052807114,0.25489556,1.921791622,1.339048357,10,2,10,7,0
0,40.52807114,0.509791121,19.21791622,0,4.052807114,0.25489556,1.921791622,0,10,2,10,0
25.81080021,0,40.52807114,0.509791121,3.687257173,0,4.052807114,0.25489556,7,0,10,2,0
6.580754668,25.81080021,0,40.52807114,1.316150934,3.687257173,0,4.052807114,5,7,0,10,0
0,6.580754668,25.81080021,0,0,1.316150934,3.687257173,0,0,5,7,0,0
1.61059393,0,6.580754668,25.81080021,0.536864643,0,1.316150934,3.687257173,3,0,5,7,0
0,1.61059393,0,6.580754668,0,0.536864643,0,1.316150934,0,3,0,5,0
0,0,1.61059393,0,0,0,0.536864643,0,0,0,3,0,0
0,0,0,1.61059393,0,0,0,0.536864643,0,0,0,3,0
9.236447304,0,0,0,1.539407884,0,0,0,6,0,0,0,1
15.80734956,9.236447304,0,0,3.161469913,1.539407884,0,0,5,6,0,0,0
5.967126399,15.80734956,9.236447304,0,0.852446628,3.161469913,1.539407884,0,7,5,6,0,0
18.57293201,5.967126399,15.80734956,9.236447304,1.688448365,0.852446628,3.161469913,1.539407884,11,7,5,6,0
0.69531554,18.57293201,5.967126399,15.80734956,0.69531554,1.688448365,0.852446628,3.161469913,1,11,7,5,0
18.38949439,0.69531554,18.57293201,5.967126399,3.064915732,0.69531554,1.688448365,0.852446628,6,1,11,7,0
32.84193543,18.38949439,0.69531554,18.57293201,8.210483856,3.064915732,0.69531554,1.688448365,4,6,1,11,0
38.94031012,32.84193543,18.38949439,0.69531554,2.995408471,8.210483856,3.064915732,0.69531554,13,4,6,1,0
96.1985679,38.94031012,32.84193543,18.38949439,7.399889838,2.995408471,8.210483856,3.064915732,13,13,4,6,0
3.792663157,96.1985679,38.94031012,32.84193543,1.264221052,7.399889838,2.995408471,8.210483856,3,13,13,4,0
18.67772229,3.792663157,96.1985679,38.94031012,1.697974754,1.264221052,7.399889838,2.995408471,11,3,13,13,0
0,18.67772229,3.792663157,96.1985679,0,1.697974754,1.264221052,7.399889838,0,11,3,13,0
17.75189833,0,18.67772229,3.792663157,2.958649722,0,1.697974754,1.264221052,6,0,11,3,0
4.693600595,17.75189833,0,18.67772229,0.938720119,2.958649722,0,1.697974754,5,6,0,11,0
53.85843074,4.693600595,17.75189833,0,4.896220977,0.938720119,2.958649722,0,11,5,6,0,0
1.984762922,53.85843074,4.693600595,17.75189833,0.49619073,4.896220977,0.938720119,2.958649722,4,11,5,6,0
25.96636075,1.984762922,53.85843074,4.693600595,3.709480107,0.49619073,4.896220977,0.938720119,7,4,11,5,0
11.35414925,25.96636075,1.984762922,53.85843074,1.622021322,3.709480107,0.49619073,4.896220977,7,7,4,11,0
